,"(nan, 'xp')","('dc_ose_metrics.csv', 'Method')","('dc_ose_metrics.csv', 'µ(RMSE) ')","('dc_ose_metrics.csv', 'λx (km)')","('dc_ose_metrics.csv', 'σ(RMSE)')","('ose_metrics.csv', 'rmse')","('ose_metrics.csv', 'λx')","('ose_metrics.csv', 'μ')","('osse_metrics.csv', 'RMSE (m)')","('osse_metrics.csv', 'λt')","('osse_metrics.csv', 'λx')","('osse_metrics.csv', 'μ')","('osse_metrics.csv', 'σ')",root['input_da']['path'],root['domains']['val']['time']['_args_'][0],root['domains']['val']['time']['_args_'][1],root['aug_factor'],root['aug_only'],root['domains']['train']['time']['_args_'][0],root['xrds_kw']['strides']['lat'],root['xrds_kw']['strides']['lon'],root['dl_kw']['batch_size'],root['_target_'],root['input_da']['_target_'],root['xrds_kw']['patch_dims']['time'],root['opt_fn']['_target_'],root['rec_weight']['_target_'],root['rec_weight']['crop']['time'],root['solver']['prior_cost']['dim_hidden'],root['solver']['grad_mod']['dim_hidden'],root['opt_fn']['lr'],root['rec_weight']['crop']['lat'],root['rec_weight']['crop']['lon'],root['rec_weight']['patch_dims']['time'],root['norm_stats']['self']['obj_cfg']['xrds_kw']['patch_dims']['time'],root['norm_stats']['self']['obj_cfg']['dl_kw']['batch_size'],root['norm_stats']['self']['obj_cfg']['aug_factor'],root['solver']['n_step'],root['solver']['prior_cost']['dim_in'],root['solver']['grad_mod']['dim_in'],root['logger']['save_dir'],root['logger']['name'],root['max_epochs'],root['callbacks'][1]['_target_'],root['callbacks'][1]['filename']
glofree,o2o_glo12_free_dc_split,4DVarNet,0.8876444298507373,122.0,0.07583598705990853,0.0588484021590487,125.68025062885842,0.9007834294904192,0.0154008563551689,11.192,0.897,0.96182,0.00994,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-03/16-27-57/0,o2o_glo12_free_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tgt_from_obs_waug_not/5,o2o_orca25_no_t,4DVarNet,0.8831700478448704,125.0,0.07763709132734789,0.0619034450531127,126.51959393618756,0.8938708209666887,,,,,,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-30/13-15-52/5,o2o_orca25_no_t,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
notide_prepro/0,o2o_enatl_wo_tide_dac_only_dc_split,4DVarNet,0.8679146737082916,125.0,0.08259835058594166,0.0719517552351614,105.63641123946576,0.8791427464421757,0.0385066367246915,8.377,1.181,0.93374,0.00625,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-15/16-34-54/0,o2o_enatl_wo_tide_dac_only_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
ya_big_mod,big_mod,4DVarNet,0.8422127365826245,126.0,0.10827182417099918,0.0899209965554924,130.93044442961096,0.8497019667417146,0.031362792623997,7.194,1.065,0.9457,0.00854,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,4.0,True,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,2.0,128.0,256.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-11/09-41-13,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
orca,o2o_orca25_dc_split,4DVarNet,0.8834647133570964,127.0,0.07548444335289643,0.0616687168484813,130.52496312698784,0.8960108258915707,0.0137438726145371,10.909,1.172,0.95707,0.01277,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-06/14-38-19,o2o_orca25_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
notide_prepro/2,o2o_enatl_wo_tide_filt_25h_dc_split,4DVarNet,0.867291363980511,128.0,0.08781169881730191,0.0719866162820502,104.57074587467716,0.8778723662939873,0.0367882706806683,9.214,1.189,0.9367,0.00511,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-15/16-34-54/2,o2o_enatl_wo_tide_filt_25h_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
notide_prepro/1,o2o_enatl_wo_tide_dc_split,4DVarNet,0.8679017960028712,128.0,0.09060641518238713,0.0715386800392236,49.1737514253408,0.8776044925645815,0.0358036290654084,8.104,1.188,0.93839,0.00573,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-15/16-34-54/1,o2o_enatl_wo_tide_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tide_prepro/2,o2o_enatl_w_tide_filt_25h_dc_split,4DVarNet,0.8683998240478548,128.0,0.09239075542457999,0.0713841716369158,94.01927098713648,0.8797304305494632,0.0367297762034128,8.328,1.179,0.9368,0.00537,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-15/16-31-09/2,o2o_enatl_w_tide_filt_25h_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tide_prepro/1,o2o_enatl_w_tide_dc_split,4DVarNet,0.8694973007083893,128.0,0.08571012675484642,0.0707776787988349,76.91852511295811,0.8797305779663998,0.0364795307597793,8.344,1.204,0.93723,0.00637,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-15/16-31-09/1,o2o_enatl_w_tide_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tide_prepro/0,o2o_enatl_w_tide_dac_only_dc_split,4DVarNet,0.77690025444378,128.0,0.10577502816791402,0.1307023026231034,91.68475186085249,0.7832628182298509,0.1011181898344652,10.555,1.33,0.826,0.01373,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-15/16-31-09/0,o2o_enatl_w_tide_dac_only_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tgt_from_obs_orca,o2o_orca25_dc_split,4DVarNet,0.8841879324019982,129.0,0.0757589727748818,0.0614601537229816,130.17341027516028,0.8951493262244065,,,,,,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-04-03/06-50-47,o2o_orca25_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
no_tide_filt25,o2o_enatl_wo_tide_filt_25h_dc_split,4DVarNet,0.8635878685107998,138.0,0.08967886130067099,0.0738481849931891,77.68382788964514,0.8759545588330788,0.0438403193692248,9.969,1.24,0.92456,0.00521,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-15/10-03-36,o2o_enatl_wo_tide_filt_25h_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
notide_dac_only,o2o_enatl_wo_tide_dac_only_dc_split,4DVarNet,0.863985878656068,138.0,0.07950194154684102,0.0746575130653137,99.31812539840509,0.8755426249243595,0.0452108480441105,9.815,1.239,0.9222,0.00612,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-15/08-34-32,o2o_enatl_wo_tide_dac_only_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
